crate,dir_name,primary_lib,is_workspace,feature_label,workspace_pathway,repository,loc,unsafe_pct,type,lib_or_app,test_case_count,description,api_total,api_covered_pre,api_pct_pre,line_pct_pre,api_covered_post,api_pct_post,line_pct_post,boosted,tests_generated,iterations_used
aho-corasick,aho-corasick,aho_corasick,False,default,,https://github.com/BurntSushi/aho-corasick,11.3K,7.41,Parsing/Text,lib,163,"The test suite provides solid functional coverage with 163 tests exercising 72.2% of the API surface and achieving 79.5% line coverage, which is reasonable for a well-established string matching library but leaves roughly a quarter of public API and a fifth of code lines unexercised. The 7.41% unsafe code proportion, likely concentrated in performance-critical inner loops and SIMD-accelerated search paths, is a concern given that the ~20% uncovered lines may overlap with these unsafe regions, meaning edge cases in low-level byte manipulation or vectorized matching could go untested. For uns...",132,113,85.61,79.51,113,85.61,79.51,False,0,0
arbitrary,arbitrary,arbitrary,True,workspace/all-features,arbitrary/tests,https://github.com/rust-fuzz/arbitrary,2.1K,0.77,Utilities,workspace,48,"The 48 tests cover 78.7% of the public API but only 64.9% of lines across a 2.1K-line workspace with a low 0.77% unsafe ratio, indicating that core Arbitrary trait implementations for standard types and Unstructured byte consumption are well-tested while internal branching logic—likely around size hints, recursive type generation, and shrinking paths—remains partially unexercised. The minimal unsafe code is likely confined to a small number of byte-slice-to-type transmutations or alignment-related operations, and the 64.9% line coverage leaves some uncertainty about whether these paths are ...",23,20,86.96,64.85,20,86.96,64.85,False,0,0
arc-swap,arc-swap,arc_swap,False,default,,https://github.com/vorner/arc-swap,2.1K,1.56,Concurrency,lib,33,"The 33 tests achieve strong line coverage at 90.8% despite covering only 55% of the public API, indicating the tests exercise core atomic pointer-swap paths thoroughly but leave many accessor, configuration, and convenience methods untested. The 1.56% unsafe code likely resides in the central load/store/swap operations which appear well-exercised given the high line coverage, though the 45% uncovered API surface may include guard types and cache accessors where instrumentation could alter timing or memory ordering behavior. The suite is reasonably adequate for basic unsafe instrumentation b...",20,18,90.0,90.78,18,90.0,90.78,False,0,0
arrayvec,arrayvec,arrayvec,False,all-features,,https://github.com/bluss/arrayvec,1.3K,16.97,Data Structures,lib,93,"The 93 tests cover 79.3% of the 87 public API methods and 74.8% of lines across a compact 1.3K-line crate with a high 16.97% unsafe ratio, indicating solid exercise of core ArrayVec and ArrayString operations—push, pop, insert, remove, and indexing—while roughly 18 methods and 25% of lines, likely including drain, into_inner, unchecked variants, and capacity-boundary edge cases, remain untested. The ~221 lines of unsafe code center on MaybeUninit manipulation, raw pointer writes for element placement, set_len adjustments, and unchecked index access, where the 25% line coverage gap raises co...",58,48,82.76,74.79,48,82.76,74.79,False,0,0
async-lock,async-lock,async_lock,False,default,,https://github.com/smol-rs/async-lock,2.4K,4.23,Async/Network,lib,118,"The 118 tests provide reasonable breadth across async-lock's synchronization primitives but cover only 61.5% of the public API and 63.2% of lines, leaving substantial gaps in a crate where 4.23% unsafe usage likely concentrates in lock acquisition, waker management, and internal state transitions—exactly the paths most critical for instrumentation correctness. The uncovered ~47 public API entry points likely include less-common methods on Mutex, RwLock, Semaphore, and Barrier guards where unsafe pointer manipulation and memory ordering are most sensitive to instrumentation overhead. The sui...",68,48,70.59,63.08,64,94.12,83.3,True,17,2
async-std,async-std,async_std,False,default,,https://github.com/async-rs/async-std,13.6K,0.76,Async/Network,lib,365,"The test suite covers roughly a third of the public API surface with 36.3% API coverage and only 30.3% line coverage, leaving significant portions of the async runtime, I/O, and networking primitives unexercised. While the unsafe footprint is small at 0.76%, the low overall coverage means that code paths surrounding or depending on unsafe blocks—likely in internal synchronization, task scheduling, or FFI boundaries—may not be adequately stressed. For unsafe instrumentation benchmarking, this suite would need substantial augmentation to improve line and API coverage, particularly targeting t...",200,72,40.22,29.06,151,84.36,44.67,True,9,3
async-task,async-task,async_task,False,default,,https://github.com/smol-rs/async-task,1.3K,32.75,Async/Network,lib,80,"The test suite provides 80 tests but only reaches 54.4% API coverage and 60.4% line coverage, which is notably insufficient for a crate where nearly a third of the code is unsafe. The gaps are significant: approximately 31 public functions/methods lack direct test coverage, and with unsafe code handling raw pointers, waker vtables, and task state transitions, the untested 40% of lines likely includes critical unsafe paths such as edge cases in cancellation, memory deallocation, and concurrent state machine transitions. This suite requires substantial augmentation—particularly targeted tests...",23,18,78.26,60.38,20,86.96,66.27,True,2,2
bimap,bimap,bimap,False,all-features,,,,,,,,,42,42,100.0,98.16,42,100.0,98.16,False,0,0
borsh,borsh-rs,borsh,True,workspace/default,"borsh-rs/borsh, borsh-rs/borsh/tests",https://github.com/near/borsh-rs,8.0K,0.09,Serialization,workspace,260,"The 260 tests achieve 75.8% line coverage but only exercise 22.1% of the public API surface, indicating that while serialization/deserialization round-trip scenarios are likely well-tested, a significant portion of the exposed interface lacks direct test coverage. The extremely low unsafe percentage (0.09%) means there is minimal unsafe code to instrument, and the existing coverage likely already touches those few unsafe regions given the overall line coverage. The suite is largely adequate for unsafe instrumentation benchmarking due to the near-absence of unsafe code, but the low API cover...",5,4,80.0,75.8,4,80.0,75.8,False,0,0
brotli-decompressor,brotli-decompressor,brotli_decompressor,False,default,,https://github.com/dropbox/rust-brotli-decompressor,31.2K,1.01,Serialization,lib,31,"The test suite achieves excellent line coverage at 95.1% despite having only 31 tests for a 31.2K LOC codebase, suggesting the tests are well-structured integration-style decompression exercises that drive broad code paths through realistic workloads. The 69.6% API coverage leaves roughly 116 public functions untested, which is a notable gap though the low unsafe percentage (1.01%) means most untested surface is likely safe wrapper or utility code. For unsafe instrumentation benchmarking, the suite is adequate given the high line coverage likely exercises the small unsafe footprint, but aug...",64,47,73.44,95.1,53,82.81,95.48,True,3,4
